0,basegame,0.4,0.0
1,basegame,0.2,0.0
2,0,0.0,0.0
3,basegame,0.5,0.0
4,basegame,0.3,0.0
5,0,0.0,0.0
6,basegame,0.2,0.0
7,wincap,0.0,5000
8,basegame,0.2,0.0
9,basegame,0.2,0.0
10,basegame,1.0,0.0
11,0,0.0,0.0
12,basegame,3.2,0.0
13,basegame,0.5,0.0
14,0,0.0,0.0
15,0,0.0,0.0
16,basegame,0.3,0.0
17,0,0.0,0.0
18,0,0.0,0.0
19,freegame,0.0,394.0
20,0,0.0,0.0
21,freegame,0.0,10.5
22,basegame,0.2,0.0
23,basegame,0.2,0.0
24,0,0.0,0.0
25,basegame,0.2,0.0
26,0,0.0,0.0
27,basegame,0.3,0.0
28,0,0.0,0.0
29,basegame,0.2,0.0
30,basegame,0.2,0.0
31,basegame,0.3,0.0
32,0,0.0,0.0
33,basegame,0.3,0.0
34,0,0.0,0.0
35,basegame,0.2,0.0
36,basegame,0.2,0.0
37,0,0.0,0.0
38,basegame,0.3,0.0
39,basegame,0.6,0.0
40,basegame,0.2,0.0
41,0,0.0,0.0
42,basegame,0.7,0.0
43,basegame,1.0,0.0
44,basegame,2.0,0.0
45,freegame,0.0,357.1
46,basegame,0.5,0.0
47,0,0.0,0.0
48,0,0.0,0.0
49,basegame,5.0,0.0
50,0,0.0,0.0
51,basegame,0.2,0.0
52,basegame,0.3,0.0
53,freegame,0.0,1.1
54,basegame,0.3,0.0
55,basegame,5.0,0.0
56,basegame,0.7,0.0
57,0,0.0,0.0
58,basegame,1.2,0.0
59,basegame,0.3,0.0
60,basegame,0.6,0.0
61,freegame,0.2,0.2
62,basegame,0.5,0.0
63,0,0.0,0.0
64,freegame,0.0,3.9
65,0,0.0,0.0
66,basegame,0.6,0.0
67,basegame,0.5,0.0
68,basegame,1.0,0.0
69,basegame,0.2,0.0
70,0,0.0,0.0
71,0,0.0,0.0
72,basegame,0.2,0.0
73,basegame,0.2,0.0
74,0,0.0,0.0
75,0,0.0,0.0
76,basegame,5.0,0.0
77,basegame,0.6,0.0
78,basegame,0.2,0.0
79,basegame,0.5,0.0
80,0,0.0,0.0
81,0,0.0,0.0
82,basegame,0.6,0.0
83,basegame,0.4,0.0
84,0,0.0,0.0
85,basegame,0.3,0.0
86,0,0.0,0.0
87,0,0.0,0.0
88,0,0.0,0.0
89,basegame,1.0,0.0
90,basegame,0.3,0.0
91,0,0.0,0.0
92,0,0.0,0.0
93,0,0.0,0.0
94,basegame,0.4,0.0
95,freegame,0.0,3741.5
96,basegame,2.0,0.0
